video_id,comment,comment_date
TsI3XQlyRUE,Brexit was an interesting experiment. Beitish will do the jobs pf polish or spaniards....then companies suffered as it was not true. I think these 4 years ahead of us we will see ugly rich insensitive people nehaving badly and likely many isa citizens and elsewhere we will suffer.,2024-11-08
TsI3XQlyRUE,its not hard to understand. Trump has been specifically saying for a long time he will do massive deportation. people voted for it. it’s not like trump just decided to do this.,2024-11-08
TsI3XQlyRUE,"and who is going to pick your lettuce? sending your teenager out to the fields to work in the hot sun, are you?",2024-11-08
TsI3XQlyRUE,Finally!,2024-11-08
TsI3XQlyRUE,They have no clue,2024-11-08
TsI3XQlyRUE,NAFTA was a colossal mistake too. <br><br>everything ross perot said would happen in ‘92 came to fruition. 🇺🇸,2024-11-08
TsI3XQlyRUE,What about the millions of illegals that grow &amp; pick our food everyday?,2024-11-08
TsI3XQlyRUE,"Amen, senator!",2024-11-08
TsI3XQlyRUE,Dont forget my no income tax please. Pay for this where ever you want. Tariff is ok. Dont raise my taxes and actually remove income taxes like you promised. No lying no backsies. 😅,2024-11-08
TsI3XQlyRUE,He gets it,2024-11-08
TsI3XQlyRUE,The USA population is against.. who will take care of this guy when he is 80+. Such an evil guy,2024-11-08
TsI3XQlyRUE,"This will make our food prices go up.  Food will rot in the fields as no one will be around to pick them.  Who going to make beds and clean hotel room including resorts.  Who is going to mow your lawn and trim your trees?  Who is going to clean your tables and wash your dishes in the restaurants?  Who is going to pave the streets and roads etc.   Our food prices will go up, and businesses will be hurt.  Our Gross National Product will decline.  Tariffs will increase the price we pay for clothes, shoes, etc.  Inflation will rise, unemployment will rise, and we will be headed into a recession according to experts.  Of course, the uneducated does not listen to experts, only Donald J. Trump.  Worst American President in history.  ☹☹",2024-11-08
TsI3XQlyRUE,Democrats are crying about slave labor 😂,2024-11-08
TsI3XQlyRUE,"FYI, Bill Clinton deported 12 million illegals.",2024-11-08
TsI3XQlyRUE,"As an American who escaped that hellscape, I garauntee you America has a laughable immigration system. In other countries, inspectors come in and check literally every employee. The fines are huge for businesses. It works, but it just increases criminality.",2024-11-08
TsI3XQlyRUE,Bring down the cost of groceries while they deport those picking those &quot;groceries&quot; who do it for less than minimum wage. Who is going to do the &quot;picking&quot;? So you hire Americans to pick and you think they will work for minimum wage? Won&#39;t grocery prices then increase?,2024-11-08
TsI3XQlyRUE,"Because the excess money supply in the United States is growing at an incredible rate. The US places it in bitcoins. Dump it so that every person is left without money, they raise it again and again) With Bitcoin, the US is fighting inflation)",2024-11-08
TsI3XQlyRUE,"12 Tribes of Israel <br><br>1. Judah - American Blacks<br>2. Benjamin - West Indian Blacks<br>3. Levi - Haitians<br>4. Ephraim - Puerto Ricans<br>5. Manasseh - Cubans<br>6. Simeon - Dominicans <br>7. Zebulun - Guatemala to Panama (Mayans)<br>8. Gad - Native American Indians<br>9. Reuben - Seminole Indians<br>10. Asher - Colombia to Uruguay (Incas)<br>11. Issachar - Mexicans (Aztecs)<br>12. Naphtali - Argentina/Chile <br><br>Thus saith the Lord our God: <br>Genesis 49:28<br>[28]All these are the twelve tribes of Israel: and this is it that their father spake unto them, and blessed them; every one according to his blessing he blessed them. <br><br>--//-- <br><br>Never Give 🆙️ Never Give In!<br>Twelve Tribes 🌍-Wide! <br><br>📕📕📕📕📕📕📕📕📕📕📕📕📕<br>📕⚅⚅⚅⚅🔴🔴🔴🔴🔆🔅🔶️🛡<br>📕⚅⚅⚅🔴🔴🔴🔴🔆🔅🔶️🔶️🛡<br>📕⚅⚅🔴🔴🔴🔴🔆🔅🔶️🔶️🔶️🛡<br>📕⚅🔴🔴⬜🔴⬜⬜⬜🔶️🔶️🔶️🛡<br>📕🔴🔴🔴⬜🔆🔅🔶️⬜🔶️🔶️🔶️🛡<br>📕🔴🔴🔴⬜🔅⬜⬜⬜🔶️🔶️🔆🛡<br>📕🔴🔴🔆⬜🔶️⬜🔶️🔶️🔶️🔆🔆🛡<br>📕👑👑⚔⬜🔶️⬜⬜⬜🔆🔆🔆🛡<br>📕🦁👑👑🔶️🔶️🔶️🔶️🔆🔆🔆⚃🛡<br>📕👑👑👑🔶️🔶️🔶️🔆🔆🔆⚃🔢🛡<br>📕👑👑🐺🔶️🔶️🔆🔆🔆⚃🔢🔢🛡<br>🛡🛡🛡🛡🛡🛡🛡🛡🛡🛡🛡🛡🛡",2024-11-08
TsI3XQlyRUE,"No one is worried about the UniParty now, right?!?",2024-11-08
TsI3XQlyRUE,Jim is a liar.JB maintained the Art 42..,2024-11-08
TsI3XQlyRUE,Don&#39;t believe Bash. She&#39;s not a good person.,2024-11-08
TsI3XQlyRUE,I don’t understand someone please reply if an undocumented worker is needed in agriculture then why not give them work permits make them documented and let them work. What am I missing?,2024-11-08
TsI3XQlyRUE,Americans voted CNN is forever fake news!,2024-11-08
TsI3XQlyRUE,I  bid bon voyage to all the &#39; mexicans for trump &#39; .,2024-11-08
TsI3XQlyRUE,"If someone should not be here, why shoulden&#39;t they be deported? Like can anyone give an answer that makes sense?",2024-11-08
TsI3XQlyRUE,Let the MASS deportation begins!!  This what the Latinos voted for.   Better have your green card / papers ready even for simple traffic tickets.   I can’t wait!!  😂😂.,2024-11-08
TsI3XQlyRUE,Pack your bags 👋,2024-11-08
TsI3XQlyRUE,Aahahah all these comments about &quot;&quot;illegal aliens that are consuming pennies to tax payers in the US&quot;. totally nonsensical. Let&#39;s do the maths about how much would be cost to tax payers a mass deportation ahahahahahah . This is the first failback from this new administration of croonies. Ahahaha mathematicians at 1st grade level of 8 years old can do better maths. Ahahahaha . the comment of this croonie &quot;it will be costly but US people deserve it &quot;ahahahahahahah simply shows what people have voted for.,2024-11-08
TsI3XQlyRUE,"Because the excess money supply in the United States is growing at an incredible rate. The USA places it in bitcoin. They dump it so that everyone is left without money, and raise it again)",2024-11-08
TsI3XQlyRUE,We dont need or want them!!!!!,2024-11-08
TsI3XQlyRUE,These are concepts of a plan. He&#39;s just repeating trump&#39;s empty rhetoric,2024-11-08
TsI3XQlyRUE,"😅 Some factory workers who are tRump supporters in Pennsylvania, are ALREADY reaping the &quot;benefits&quot; of voting for him...hehehe...<br>They&#39;ve been told by their boss that they won&#39;t be getting their traditional Christmas bonus this year, because the boss needs to spend the bonus funds on a year&#39;s worth of supplies for the business before tRump&#39;s tariffs start in January...<br>... the employees didn&#39;t understand why they don&#39;t get a bonus this year, because they think the tariffs are paid by the other country😅...<br>... the boss had to explain how tariffs work to these tRump voters...<br>They&#39;ve already lost their Christmas bonus and he&#39;s not even in office yet...<br>😂😂😂<br><br>I don&#39;t feel sorry for them.😎<br>🇨🇦🇺🇸🇺🇦<br>😂😂😂",2024-11-08
TsI3XQlyRUE,"Yes, enforce the law.   No country with a generous welfare system can survive open borders, financially, socially, or culturally.   It&#39;s a prescription for national suicide.   (Bill Clinton deported 12 million)",2024-11-08
TsI3XQlyRUE,"Cool. A well thought out plan. So, when you start deporting workers who work in agriculture and meat processing, and the only solution is to raise wages or slow production, this is going to be immediately inflationary. In about a year, the prices at the grocery stores and at fast food restaurants are going to be significantly higher. Combined with the inflationary tariffs, this will cause a recession. <br><br>If you voted for Trump because of high inflation, the next few years are going to be confusing.",2024-11-08
TsI3XQlyRUE,I see nothing wrong with this,2024-11-08
TsI3XQlyRUE,Wicked Bash.,2024-11-08
TsI3XQlyRUE,trumps next bankruptcy is America.<br>He has a concept of a plan.<br>Elect a clown. Get a circus.,2024-11-08
TsI3XQlyRUE,"I&#39;m just glad the immigrants, murders, didn&#39;t vote this time around... CNN got played too easy idiots...lolololll",2024-11-08
TsI3XQlyRUE,"Its been the GOP 1# issue for 45 years, mabe thwy are going to do something?",2024-11-08
TsI3XQlyRUE,Trump 2024 🇺🇸 🇺🇸 🇺🇸,2024-11-08
TsI3XQlyRUE,Most of them are working for Republican business and personal help for landscaping and house cleaning etc? So will they send them home too?,2024-11-08
TsI3XQlyRUE,If you moaned about inflation before just wait until you deport the majority of the workforce in the food industry 😂,2024-11-08
TsI3XQlyRUE,"My Heart ❤️ breaks 😢,,,, No Empathy for children, Elderly, Americans are Racist, God Would not be ok with this… Such a UGLY MANDATE",2024-11-08
TsI3XQlyRUE,Msnbc and cnn. You helped him win. Who the F+#@[ treats a Convicted pedophile sex offender as a &#39;normal&#39; politician. He inspected young girls beauty pageant,2024-11-08
TsI3XQlyRUE,Any homeless and criminals first,2024-11-08
TsI3XQlyRUE,Don’t worry. I’m sure the leopard won’t eat your face.,2024-11-08
TsI3XQlyRUE,Not a single coherent response? This is who we elected for senator?<br><br>Tell them the sheriffs are gonna ask for passport at every point. Those who can’t produce it will be put in deportation proceedings. All ages all genders will be treated equally. Isn’t that what 72 million Americans voted for?,2024-11-08
TsI3XQlyRUE,How is cnn still in business with their BS,2024-11-08
TsI3XQlyRUE,I’m an illegal immigrant. Where can I turn myself in? Would you please send me to a nice island nation? Hopefully something warm and pretty. And not some garbage pile in the ocean.,2024-11-08
TsI3XQlyRUE,can you see how hard this interview is for her...... Oh you mean you might want to be somewhat pleasant since we destroyed your BOSSES,2024-11-08
TsI3XQlyRUE,This Latinos that voted for Trump are going to be sorry they did because they are going to see their family members or themselves deported.,2024-11-08
TsI3XQlyRUE,She ask all dumb questions,2024-11-08
TsI3XQlyRUE,"Time  to build a  veggie  garden , Produce is  going up  next  year  .",2024-11-08
TsI3XQlyRUE,&quot;The kingdom of God has drawn near; repent and believe the gospel!&quot;,2024-11-08
TsI3XQlyRUE,"<a href=""http://www.youtube.com/results?search_query=%23shame"">#shame</a> <a href=""http://www.youtube.com/results?search_query=%23amsterdam"">#amsterdam</a> <a href=""http://www.youtube.com/results?search_query=%23netherland"">#netherland</a> <br><br><a href=""http://www.youtube.com/results?search_query=%23stopantisemitism"">#stopantisemitism</a> <br><a href=""http://www.youtube.com/results?search_query=%23queenofnetherland"">#queenofnetherland</a> <a href=""http://www.youtube.com/results?search_query=%23maximazorraieta"">#maximazorraieta</a> <br>@amsterdam @shame <br><br>Please put in prison everyone involved in the aggressive crime against Israelites last night",2024-11-08
TsI3XQlyRUE,Looks like she&#39;ll cry any moment or simply controlling all that anger and just can&#39;t do anything 😂😂,2024-11-08
TsI3XQlyRUE,How much will it cost each American per illegal deported?,2024-11-08
TsI3XQlyRUE,This guy is planning the ethnic cleansing that is about to start. They&#39;re owning the fascist title.,2024-11-08
TsI3XQlyRUE,CNN is the real garbage,2024-11-08
TsI3XQlyRUE,Do these people ever ask themselves who stands on a line and guts chickens 8-12 hours a day?,2024-11-08
TsI3XQlyRUE,"Get em out, that&#39;s what we voted you to do!!!!",2024-11-08
TsI3XQlyRUE,I’m an illegal immigrant. Where can I turn myself in? Would you please send me to a nice island nation? Hopefully something warm and pretty.,2024-11-08
TsI3XQlyRUE,Well that sounds a lot like something Goebbels said to rationalize NZi atrocities.. I promised myself not to be this much disgusted by these ppl.. but it proves to be impossible,2024-11-08
TsI3XQlyRUE,Jim Banks is not very bright.,2024-11-08
TsI3XQlyRUE,the white guy saying that is ironic..,2024-11-08
TsI3XQlyRUE,🎉🎉🎉yep get ‘em out of here 🎉🎉🎉,2024-11-08
TsI3XQlyRUE,I wonder How many Migrants she has living in her Community,2024-11-08
TsI3XQlyRUE,This is gonna end up in a civil war.,2024-11-08
TsI3XQlyRUE,Stop slave labour!!<br>When she says &quot;fuel our businesses&quot; she means can be used for cheap slave labour with no rights or protection,2024-11-08
TsI3XQlyRUE,If majority of Latinos including this writer approves mass deportation!! Why are white people in uproar 😂😂!! If anything we should be protesting but we want all those invaders out!!!!,2024-11-08
TsI3XQlyRUE,They forget Americans commit more crimes,2024-11-08
TsI3XQlyRUE,"At this point , you  could just tell , that this is not about democrats vs republicans, this is Democrats vs Trump. They don&#39;t want to admit it . They hate trump so bad they rather have  a zombie  as a  president , aka Biden and dumb ass lady kamala, like really . Come here legally like I did .",2024-11-08
TsI3XQlyRUE,Who the uck gonna clean the hotels or cook my food ... lol,2024-11-08
TsI3XQlyRUE,"Trump failed the first time, why do republicans think that’ll change now?",2024-11-08
